game_date,player_name,player_team,opponent_team,opponent_pitcher,at_bats,hits,walks,strikeouts,home_runs,rbi,batting_avg
2024-04-01,Adolis García,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_3,4,0,0,0,0,0,0.0
2024-04-01,Pete Fairbanks,TB,Texas Rangers,Texas Rangers_Pitcher_5,4,1,0,1,1,0,0.25
2024-04-01,Wyatt Langford,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_1,4,2,0,1,0,0,0.5
2024-04-01,Brandon Nimmo,NYM,Detroit Tigers,Detroit Tigers_Pitcher_2,4,0,0,1,0,0,0.0
2024-04-01,Gleyber Torres,DET,New York Mets,New York Mets_Pitcher_1,4,3,0,0,0,3,0.75
2024-04-01,Zach McKinstry,DET,New York Mets,New York Mets_Pitcher_2,3,0,0,1,0,0,0.0
2024-04-01,Will Vest,DET,New York Mets,New York Mets_Pitcher_2,4,1,0,2,0,0,0.25
2024-04-01,Daulton Varsho,TOR,Houston Astros,Houston Astros_Pitcher_5,4,0,0,0,0,0,0.0
2024-04-01,Vladimir Guerrero Jr.,TOR,Houston Astros,Houston Astros_Pitcher_5,3,0,0,0,0,0,0.0
2024-04-01,Alejandro Kirk,TOR,Houston Astros,Houston Astros_Pitcher_1,4,0,0,1,0,0,0.0
2024-04-01,Brendon Little,TOR,Houston Astros,Houston Astros_Pitcher_1,4,0,1,2,0,1,0.0
2024-04-01,Hunter Brown,HOU,Toronto Blue Jays,Toronto Blue Jays_Pitcher_3,3,0,0,1,0,0,0.0
2024-04-01,Lawrence Butler,ATH,Boston Red Sox,Boston Red Sox_Pitcher_4,4,2,0,1,0,0,0.5
2024-04-01,Wilyer Abreu,BOS,Oakland Athletics,Oakland Athletics_Pitcher_4,4,2,0,1,0,0,0.5
2024-04-01,Luis Morales,ATH,Boston Red Sox,Boston Red Sox_Pitcher_2,3,1,0,1,0,0,0.3333333333333333
2024-04-01,Sean Newcomb,ATH,Boston Red Sox,Boston Red Sox_Pitcher_3,3,0,0,1,0,0,0.0
2024-04-01,Trevor Story,BOS,Oakland Athletics,Oakland Athletics_Pitcher_4,3,1,0,0,0,1,0.3333333333333333
2024-04-01,Hunter Gaddis,CLE,Seattle Mariners,Seattle Mariners_Pitcher_5,4,2,0,0,1,2,0.5
2024-04-01,Willson Contreras,STL,San Diego Padres,San Diego Padres_Pitcher_3,4,0,0,1,0,0,0.0
2024-04-01,Mason Miller,SD,St. Louis Cardinals,St. Louis Cardinals_Pitcher_1,3,1,0,1,0,1,0.3333333333333333
2024-04-01,Austin Wells,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_5,4,2,0,2,0,1,0.5
2024-04-01,Geraldo Perdomo,AZ,New York Yankees,New York Yankees_Pitcher_3,3,1,0,0,0,0,0.3333333333333333
2024-04-01,Aaron Judge,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_4,3,1,0,0,0,0,0.3333333333333333
2024-04-01,Cam Schlittler,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,3,0,1,0,0,1,0.0
2024-04-01,Andrew Saalfrank,AZ,New York Yankees,New York Yankees_Pitcher_4,4,2,0,1,0,1,0.5
2024-04-01,Corbin Carroll,AZ,New York Yankees,New York Yankees_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-01,Cody Bellinger,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_3,4,1,0,0,0,1,0.25
2024-04-01,David Bednar,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,4,3,0,0,1,2,0.75
2024-04-01,Max Muncy,LAD,San Francisco Giants,San Francisco Giants_Pitcher_2,4,1,0,0,0,1,0.25
2024-04-01,Matt Chapman,SF,Los Angeles Dodgers,Los Angeles Dodgers_Pitcher_4,3,1,0,0,0,0,0.3333333333333333
2024-04-02,Jacob Misiorowski,MIL,Minnesota Twins,Minnesota Twins_Pitcher_4,4,1,0,1,0,0,0.25
2024-04-02,William Contreras,MIL,Minnesota Twins,Minnesota Twins_Pitcher_4,4,1,0,1,1,1,0.25
2024-04-02,Andrew Vaughn,MIL,Minnesota Twins,Minnesota Twins_Pitcher_2,3,1,0,1,1,0,0.3333333333333333
2024-04-02,Brice Turang,MIL,Minnesota Twins,Minnesota Twins_Pitcher_5,3,1,0,1,1,0,0.3333333333333333
2024-04-02,Freddy Peralta,MIL,Minnesota Twins,Minnesota Twins_Pitcher_3,4,3,0,0,1,1,0.75
2024-04-02,Abner Uribe,MIL,Minnesota Twins,Minnesota Twins_Pitcher_1,4,2,0,0,0,0,0.5
2024-04-02,Jacob Misiorowski,MIL,Minnesota Twins,Minnesota Twins_Pitcher_4,4,1,0,1,0,0,0.25
2024-04-02,Trevor Megill,MIL,Minnesota Twins,Minnesota Twins_Pitcher_4,4,3,0,0,0,0,0.75
2024-04-02,Vinnie Pasquantino,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_4,4,2,0,2,1,1,0.5
2024-04-02,Maikel Garcia,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_2,4,0,0,3,0,0,0.0
2024-04-02,Keegan Akin,BAL,Kansas City Royals,Kansas City Royals_Pitcher_4,3,0,0,1,0,0,0.0
2024-04-02,Andrew Kittredge,BAL,Kansas City Royals,Kansas City Royals_Pitcher_3,3,1,0,0,0,0,0.3333333333333333
2024-04-02,Adley Rutschman,BAL,Kansas City Royals,Kansas City Royals_Pitcher_3,3,1,0,1,0,0,0.3333333333333333
2024-04-02,Elly De La Cruz,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_4,4,0,0,1,0,0,0.0
2024-04-02,Emilio Pagán,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_4,3,0,0,2,0,0,0.0
2024-04-02,Ranger Suárez,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_5,4,0,1,3,0,0,0.0
2024-04-02,Bryson Stott,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_3,4,0,0,1,0,0,0.0
2024-04-02,Jesús Luzardo,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_1,4,2,0,1,0,2,0.5
2024-04-02,Andrew Abbott,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_2,3,1,0,0,0,1,0.3333333333333333
2024-04-02,Xavier Edwards,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_2,3,1,0,0,0,0,0.3333333333333333
2024-04-02,Taylor Ward,LAA,Miami Marlins,Miami Marlins_Pitcher_5,3,0,0,1,0,0,0.0
2024-04-02,Calvin Faucher,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_5,3,0,0,1,0,0,0.0
2024-04-02,Adolis García,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_1,4,1,0,0,0,1,0.25
2024-04-02,Pete Fairbanks,TB,Texas Rangers,Texas Rangers_Pitcher_3,4,0,0,0,0,0,0.0
2024-04-02,Wyatt Langford,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_1,4,2,0,0,0,1,0.5
2024-04-02,Mickey Moniak,COL,Chicago Cubs,Chicago Cubs_Pitcher_4,3,1,0,0,0,1,0.3333333333333333
2024-04-02,Matt Shaw,CHC,Colorado Rockies,Colorado Rockies_Pitcher_3,3,0,1,1,0,0,0.0
2024-04-02,Seiya Suzuki,CHC,Colorado Rockies,Colorado Rockies_Pitcher_1,4,1,0,1,0,0,0.25
2024-04-02,Jurickson Profar,ATL,Chicago White Sox,Chicago White Sox_Pitcher_5,4,4,0,0,2,1,1.0
2024-04-02,Colson Montgomery,CWS,Atlanta Braves,Atlanta Braves_Pitcher_2,4,2,0,0,0,0,0.5
2024-04-02,Spencer Strider,ATL,Chicago White Sox,Chicago White Sox_Pitcher_2,4,1,0,1,0,1,0.25
2024-04-02,Daulton Varsho,TOR,Houston Astros,Houston Astros_Pitcher_4,3,1,0,1,0,1,0.3333333333333333
2024-04-02,Vladimir Guerrero Jr.,TOR,Houston Astros,Houston Astros_Pitcher_3,3,0,0,1,0,0,0.0
2024-04-02,Alejandro Kirk,TOR,Houston Astros,Houston Astros_Pitcher_2,3,0,0,1,0,0,0.0
2024-04-02,Brendon Little,TOR,Houston Astros,Houston Astros_Pitcher_1,4,1,0,0,0,1,0.25
2024-04-02,Hunter Brown,HOU,Toronto Blue Jays,Toronto Blue Jays_Pitcher_4,3,1,0,1,0,0,0.3333333333333333
2024-04-02,Lawrence Butler,ATH,Boston Red Sox,Boston Red Sox_Pitcher_1,3,1,0,1,0,1,0.3333333333333333
2024-04-02,Wilyer Abreu,BOS,Oakland Athletics,Oakland Athletics_Pitcher_3,3,0,0,1,0,0,0.0
2024-04-02,Luis Morales,ATH,Boston Red Sox,Boston Red Sox_Pitcher_4,3,1,0,1,0,1,0.3333333333333333
2024-04-02,Sean Newcomb,ATH,Boston Red Sox,Boston Red Sox_Pitcher_3,3,0,0,0,0,0,0.0
2024-04-02,Trevor Story,BOS,Oakland Athletics,Oakland Athletics_Pitcher_1,4,1,0,0,0,1,0.25
2024-04-02,Hunter Gaddis,CLE,Seattle Mariners,Seattle Mariners_Pitcher_3,4,2,0,0,0,2,0.5
2024-04-02,Willson Contreras,STL,San Diego Padres,San Diego Padres_Pitcher_5,3,1,1,0,0,1,0.3333333333333333
2024-04-02,Mason Miller,SD,St. Louis Cardinals,St. Louis Cardinals_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-02,Austin Wells,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_4,3,1,0,0,0,0,0.3333333333333333
2024-04-02,Geraldo Perdomo,AZ,New York Yankees,New York Yankees_Pitcher_3,3,1,1,1,0,1,0.3333333333333333
2024-04-02,Aaron Judge,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_4,4,0,0,0,0,0,0.0
2024-04-02,Cam Schlittler,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,4,0,0,3,0,0,0.0
2024-04-02,Andrew Saalfrank,AZ,New York Yankees,New York Yankees_Pitcher_5,4,1,0,2,0,0,0.25
2024-04-02,Corbin Carroll,AZ,New York Yankees,New York Yankees_Pitcher_1,4,1,0,2,0,1,0.25
2024-04-02,Cody Bellinger,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_5,3,1,0,0,0,0,0.3333333333333333
2024-04-02,David Bednar,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,3,1,0,0,0,1,0.3333333333333333
2024-04-02,Max Muncy,LAD,San Francisco Giants,San Francisco Giants_Pitcher_3,4,0,0,1,0,0,0.0
2024-04-02,Matt Chapman,SF,Los Angeles Dodgers,Los Angeles Dodgers_Pitcher_4,4,1,0,0,0,1,0.25
2024-04-04,Brandon Nimmo,NYM,Detroit Tigers,Detroit Tigers_Pitcher_1,3,2,0,0,0,1,0.6666666666666666
2024-04-04,Gleyber Torres,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,0,0,0,0.0
2024-04-04,Zach McKinstry,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-04,Will Vest,DET,New York Mets,New York Mets_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-03,Vinnie Pasquantino,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_2,3,1,0,1,0,1,0.3333333333333333
2024-04-03,Maikel Garcia,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_5,4,1,0,2,1,0,0.25
2024-04-03,Keegan Akin,BAL,Kansas City Royals,Kansas City Royals_Pitcher_5,3,0,0,1,0,0,0.0
2024-04-03,Andrew Kittredge,BAL,Kansas City Royals,Kansas City Royals_Pitcher_4,3,0,0,0,0,0,0.0
2024-04-03,Adley Rutschman,BAL,Kansas City Royals,Kansas City Royals_Pitcher_4,4,1,0,1,0,0,0.25
2024-04-03,Adolis García,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_5,4,0,0,1,0,0,0.0
2024-04-03,Pete Fairbanks,TB,Texas Rangers,Texas Rangers_Pitcher_3,3,1,0,0,0,0,0.3333333333333333
2024-04-03,Wyatt Langford,TEX,Tampa Bay Rays,Tampa Bay Rays_Pitcher_4,4,1,1,1,0,0,0.25
2024-04-03,Xavier Edwards,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_1,3,1,0,2,0,0,0.3333333333333333
2024-04-03,Taylor Ward,LAA,Miami Marlins,Miami Marlins_Pitcher_5,4,1,0,0,0,1,0.25
2024-04-03,Calvin Faucher,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_1,4,0,0,0,0,0,0.0
2024-04-03,Jacob Misiorowski,MIL,Minnesota Twins,Minnesota Twins_Pitcher_3,3,1,0,1,0,1,0.3333333333333333
2024-04-03,William Contreras,MIL,Minnesota Twins,Minnesota Twins_Pitcher_1,3,0,0,0,0,0,0.0
2024-04-03,Andrew Vaughn,MIL,Minnesota Twins,Minnesota Twins_Pitcher_3,4,1,0,0,0,1,0.25
2024-04-03,Brice Turang,MIL,Minnesota Twins,Minnesota Twins_Pitcher_2,4,0,0,0,0,0,0.0
2024-04-03,Freddy Peralta,MIL,Minnesota Twins,Minnesota Twins_Pitcher_4,3,2,0,1,1,0,0.6666666666666666
2024-04-03,Abner Uribe,MIL,Minnesota Twins,Minnesota Twins_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-03,Jacob Misiorowski,MIL,Minnesota Twins,Minnesota Twins_Pitcher_3,3,1,0,1,0,1,0.3333333333333333
2024-04-03,Trevor Megill,MIL,Minnesota Twins,Minnesota Twins_Pitcher_5,3,2,0,0,0,0,0.6666666666666666
2024-04-03,Lawrence Butler,ATH,Boston Red Sox,Boston Red Sox_Pitcher_3,3,1,1,0,1,2,0.3333333333333333
2024-04-03,Wilyer Abreu,BOS,Oakland Athletics,Oakland Athletics_Pitcher_2,4,1,0,0,0,0,0.25
2024-04-03,Luis Morales,ATH,Boston Red Sox,Boston Red Sox_Pitcher_5,3,0,0,1,0,0,0.0
2024-04-03,Sean Newcomb,ATH,Boston Red Sox,Boston Red Sox_Pitcher_4,3,1,0,2,0,1,0.3333333333333333
2024-04-03,Trevor Story,BOS,Oakland Athletics,Oakland Athletics_Pitcher_1,3,1,0,0,0,1,0.3333333333333333
2024-04-03,Austin Wells,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_5,4,0,0,1,0,0,0.0
2024-04-03,Geraldo Perdomo,AZ,New York Yankees,New York Yankees_Pitcher_4,4,0,0,3,0,0,0.0
2024-04-03,Aaron Judge,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_2,3,0,0,2,0,0,0.0
2024-04-03,Cam Schlittler,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,4,1,0,1,0,1,0.25
2024-04-03,Andrew Saalfrank,AZ,New York Yankees,New York Yankees_Pitcher_2,3,1,0,1,0,1,0.3333333333333333
2024-04-03,Corbin Carroll,AZ,New York Yankees,New York Yankees_Pitcher_1,4,1,0,1,0,0,0.25
2024-04-03,Cody Bellinger,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_1,3,0,0,1,0,0,0.0
2024-04-03,David Bednar,NYY,Arizona Diamondbacks,Arizona Diamondbacks_Pitcher_2,4,0,0,2,0,0,0.0
2024-04-03,Elly De La Cruz,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_4,4,0,0,0,0,0,0.0
2024-04-03,Emilio Pagán,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_5,4,0,0,1,0,0,0.0
2024-04-03,Ranger Suárez,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_4,3,1,0,2,0,1,0.3333333333333333
2024-04-03,Bryson Stott,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_2,3,0,0,0,0,0,0.0
2024-04-03,Jesús Luzardo,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_2,3,0,0,0,0,0,0.0
2024-04-03,Andrew Abbott,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_4,3,0,0,1,0,0,0.0
2024-04-03,Hunter Gaddis,CLE,Seattle Mariners,Seattle Mariners_Pitcher_2,3,1,0,1,0,0,0.3333333333333333
2024-04-03,Willson Contreras,STL,San Diego Padres,San Diego Padres_Pitcher_1,3,2,0,0,0,0,0.6666666666666666
2024-04-03,Mason Miller,SD,St. Louis Cardinals,St. Louis Cardinals_Pitcher_1,3,0,0,1,0,0,0.0
2024-04-03,Oneil Cruz,PIT,Washington Nationals,Washington Nationals_Pitcher_5,4,1,0,0,0,1,0.25
2024-04-03,Paul Skenes,PIT,Washington Nationals,Washington Nationals_Pitcher_2,4,1,0,0,0,0,0.25
2024-04-03,Bubba Chandler,PIT,Washington Nationals,Washington Nationals_Pitcher_2,4,0,0,1,0,0,0.0
2024-04-03,Mickey Moniak,COL,Chicago Cubs,Chicago Cubs_Pitcher_2,4,2,0,0,1,1,0.5
2024-04-03,Matt Shaw,CHC,Colorado Rockies,Colorado Rockies_Pitcher_5,3,1,0,0,0,0,0.3333333333333333
2024-04-03,Seiya Suzuki,CHC,Colorado Rockies,Colorado Rockies_Pitcher_4,3,1,0,1,1,1,0.3333333333333333
2024-04-03,Daulton Varsho,TOR,Houston Astros,Houston Astros_Pitcher_5,4,0,0,0,0,0,0.0
2024-04-03,Vladimir Guerrero Jr.,TOR,Houston Astros,Houston Astros_Pitcher_4,3,1,0,1,0,0,0.3333333333333333
2024-04-03,Alejandro Kirk,TOR,Houston Astros,Houston Astros_Pitcher_4,4,0,0,0,0,0,0.0
2024-04-03,Brendon Little,TOR,Houston Astros,Houston Astros_Pitcher_3,4,1,0,0,0,1,0.25
2024-04-03,Hunter Brown,HOU,Toronto Blue Jays,Toronto Blue Jays_Pitcher_2,3,1,0,1,1,0,0.3333333333333333
2024-04-03,Max Muncy,LAD,San Francisco Giants,San Francisco Giants_Pitcher_5,3,1,0,0,0,0,0.3333333333333333
2024-04-03,Matt Chapman,SF,Los Angeles Dodgers,Los Angeles Dodgers_Pitcher_2,3,2,0,0,0,1,0.6666666666666666
2024-06-27,Jurickson Profar,ATL,Chicago White Sox,Chicago White Sox_Pitcher_5,3,2,0,0,1,1,0.6666666666666666
2024-06-27,Colson Montgomery,CWS,Atlanta Braves,Atlanta Braves_Pitcher_1,4,0,1,2,0,1,0.0
2024-06-27,Spencer Strider,ATL,Chicago White Sox,Chicago White Sox_Pitcher_2,4,0,0,2,0,0,0.0
2024-04-04,Brandon Nimmo,NYM,Detroit Tigers,Detroit Tigers_Pitcher_1,3,2,0,0,0,1,0.6666666666666666
2024-04-04,Gleyber Torres,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,0,0,0,0.0
2024-04-04,Zach McKinstry,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-04,Will Vest,DET,New York Mets,New York Mets_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-04,Brandon Nimmo,NYM,Detroit Tigers,Detroit Tigers_Pitcher_1,3,2,0,0,0,1,0.6666666666666666
2024-04-04,Gleyber Torres,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,0,0,0,0.0
2024-04-04,Zach McKinstry,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-04,Will Vest,DET,New York Mets,New York Mets_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-04,Brandon Nimmo,NYM,Detroit Tigers,Detroit Tigers_Pitcher_1,3,2,0,0,0,1,0.6666666666666666
2024-04-04,Gleyber Torres,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,0,0,0,0.0
2024-04-04,Zach McKinstry,DET,New York Mets,New York Mets_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-04,Will Vest,DET,New York Mets,New York Mets_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-04,Oneil Cruz,PIT,Washington Nationals,Washington Nationals_Pitcher_3,3,0,0,1,0,0,0.0
2024-04-04,Paul Skenes,PIT,Washington Nationals,Washington Nationals_Pitcher_1,3,1,0,0,0,0,0.3333333333333333
2024-04-04,Bubba Chandler,PIT,Washington Nationals,Washington Nationals_Pitcher_3,4,1,0,3,0,0,0.25
2024-04-04,Hunter Gaddis,CLE,Minnesota Twins,Minnesota Twins_Pitcher_1,4,3,0,0,0,0,0.75
2024-04-04,Xavier Edwards,MIA,St. Louis Cardinals,St. Louis Cardinals_Pitcher_5,3,2,0,0,0,0,0.6666666666666666
2024-04-04,Calvin Faucher,MIA,St. Louis Cardinals,St. Louis Cardinals_Pitcher_1,4,1,0,2,0,1,0.25
2024-04-04,Willson Contreras,STL,Miami Marlins,Miami Marlins_Pitcher_2,4,1,0,1,0,0,0.25
2024-04-04,Vinnie Pasquantino,KC,Chicago White Sox,Chicago White Sox_Pitcher_5,3,0,0,0,0,0,0.0
2024-04-04,Maikel Garcia,KC,Chicago White Sox,Chicago White Sox_Pitcher_1,4,0,0,0,0,0,0.0
2024-04-04,Colson Montgomery,CWS,Kansas City Royals,Kansas City Royals_Pitcher_5,3,2,0,0,0,1,0.6666666666666666
2024-04-05,Austin Wells,NYY,Toronto Blue Jays,Toronto Blue Jays_Pitcher_3,3,0,0,2,0,0,0.0
2024-04-05,Aaron Judge,NYY,Toronto Blue Jays,Toronto Blue Jays_Pitcher_2,3,1,0,1,0,1,0.3333333333333333
2024-04-05,Daulton Varsho,TOR,New York Yankees,New York Yankees_Pitcher_1,4,2,0,0,0,1,0.5
2024-04-05,Vladimir Guerrero Jr.,TOR,New York Yankees,New York Yankees_Pitcher_4,4,2,0,1,2,2,0.5
2024-04-05,Alejandro Kirk,TOR,New York Yankees,New York Yankees_Pitcher_3,4,1,0,0,0,1,0.25
2024-04-05,Brendon Little,TOR,New York Yankees,New York Yankees_Pitcher_2,4,1,0,0,1,0,0.25
2024-04-05,Cam Schlittler,NYY,Toronto Blue Jays,Toronto Blue Jays_Pitcher_3,4,3,0,0,2,2,0.75
2024-04-05,Cody Bellinger,NYY,Toronto Blue Jays,Toronto Blue Jays_Pitcher_4,4,2,1,0,0,0,0.5
2024-04-05,David Bednar,NYY,Toronto Blue Jays,Toronto Blue Jays_Pitcher_1,4,2,1,0,0,1,0.5
2024-04-05,Gleyber Torres,DET,Oakland Athletics,Oakland Athletics_Pitcher_2,3,1,0,1,0,1,0.3333333333333333
2024-04-05,Lawrence Butler,ATH,Detroit Tigers,Detroit Tigers_Pitcher_4,4,3,0,0,0,2,0.75
2024-04-05,Luis Morales,ATH,Detroit Tigers,Detroit Tigers_Pitcher_1,3,0,0,1,0,0,0.0
2024-04-05,Sean Newcomb,ATH,Detroit Tigers,Detroit Tigers_Pitcher_2,3,0,0,1,0,0,0.0
2024-04-05,Zach McKinstry,DET,Oakland Athletics,Oakland Athletics_Pitcher_5,4,1,0,0,0,0,0.25
2024-04-05,Will Vest,DET,Oakland Athletics,Oakland Athletics_Pitcher_2,4,1,0,0,0,0,0.25
2024-04-05,Max Muncy,LAD,Chicago Cubs,Chicago Cubs_Pitcher_2,4,1,0,2,0,1,0.25
2024-04-05,Matt Shaw,CHC,Los Angeles Dodgers,Los Angeles Dodgers_Pitcher_2,4,0,0,2,0,0,0.0
2024-04-05,Seiya Suzuki,CHC,Los Angeles Dodgers,Los Angeles Dodgers_Pitcher_4,3,1,0,1,0,1,0.3333333333333333
2024-04-05,Mickey Moniak,COL,Tampa Bay Rays,Tampa Bay Rays_Pitcher_4,3,0,0,1,0,0,0.0
2024-04-05,Pete Fairbanks,TB,Colorado Rockies,Colorado Rockies_Pitcher_1,3,2,0,1,0,0,0.6666666666666666
2024-04-05,Keegan Akin,BAL,Pittsburgh Pirates,Pittsburgh Pirates_Pitcher_2,3,0,0,1,0,0,0.0
2024-04-05,Andrew Kittredge,BAL,Pittsburgh Pirates,Pittsburgh Pirates_Pitcher_1,3,1,0,0,1,0,0.3333333333333333
2024-04-05,Oneil Cruz,PIT,Baltimore Orioles,Baltimore Orioles_Pitcher_3,4,1,0,0,0,0,0.25
2024-04-05,Adley Rutschman,BAL,Pittsburgh Pirates,Pittsburgh Pirates_Pitcher_1,3,0,1,2,0,1,0.0
2024-04-05,Paul Skenes,PIT,Baltimore Orioles,Baltimore Orioles_Pitcher_5,4,0,1,1,0,0,0.0
2024-04-05,Bubba Chandler,PIT,Baltimore Orioles,Baltimore Orioles_Pitcher_3,4,2,0,1,0,1,0.5
2024-04-05,Matt Chapman,SF,San Diego Padres,San Diego Padres_Pitcher_1,4,1,0,0,0,0,0.25
2024-04-05,Mason Miller,SD,San Francisco Giants,San Francisco Giants_Pitcher_3,4,3,0,0,1,2,0.75
2024-04-05,Elly De La Cruz,CIN,New York Mets,New York Mets_Pitcher_2,3,1,0,1,0,1,0.3333333333333333
